Computer Name,Software Name,Software Version,Software Installed Date
02-1818,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
02-1818,Trend Micro OfficeScan Agent,14.0.9390,"Oct 31, 2018"
20-0002,Trend Micro Apex One Security Agent,14.0.9390,"Nov 12, 2018"
20-0008,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
20-0008,Trend Micro OfficeScan Agent,14.0.9390,"Oct 26, 2018"
40-0049,Trend Micro Apex One Security Agent,14.0.8515,"Jul 14, 2020"
40-0049,Trend Micro OfficeScan Agent,14.0.8515,"Jun 22, 2017"
40-0146,Trend Micro Apex One Security Agent,14.0.6850,"Mar 16, 2020"
40-0146,Trend Micro Security Agent,14.0.6850,"Feb 4, 2020"
40-0150,Trend Micro OfficeScan Agent,14.0.9390,"Oct 11, 2019"
40-0150,Trend Micro Apex One Security Agent,14.0.9390,"Feb 13, 2020"
40-0152,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0152,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0157,Trend Micro Apex One Security Agent,14.0.9324,"Feb 10, 2021"
40-0157,Trend Micro OfficeScan Agent,14.0.9324,"Oct 16, 2019"
40-0158,Trend Micro OfficeScan Agent,12.0.5431,"Jul 12, 2017"
40-0161,Trend Micro Apex One Security Agent,14.0.9390,"Feb 23, 2020"
40-0162,Trend Micro Apex One Security Agent,14.0.9390,"Mar 4, 2020"
40-0164,Trend Micro Apex One Security Agent,14.0.9390,"Feb 19, 2020"
40-0169,Trend Micro Apex One Security Agent,14.0.9390,"Mar 1, 2020"
40-0169,Trend Micro OfficeScan Agent,14.0.9390,"Sep 30, 2019"
40-0172,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0172,Trend Micro OfficeScan Agent,14.0.9390,"Jan 7, 2020"
40-0173,Trend Micro Apex One Security Agent,14.0.9390,"Mar 13, 2020"
40-0173,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0176,Trend Micro Apex One Security Agent,14.0.9390,"Mar 5, 2020"
40-0178,Trend Micro Apex One Security Agent,14.0.9390,"Feb 12, 2020"
40-0178,Trend Micro OfficeScan Agent,14.0.9390,"Oct 3, 2019"
40-0181,Trend Micro Apex One Security Agent,14.0.9390,"Feb 18, 2020"
40-0181,Trend Micro OfficeScan Agent,14.0.9390,"Sep 23, 2019"
40-0182,Trend Micro Apex One Security Agent,14.0.9390,"Nov 9, 2020"
40-0183,Trend Micro Apex One Security Agent,14.0.9233,"Dec 9, 2020"
40-0183,Trend Micro Security Agent,14.0.9233,"Feb 25, 2020"
40-0184,Trend Micro OfficeScan Agent,12.0.5431,"Feb 22, 2017"
40-0185,Trend Micro Apex One Security Agent,14.0.9043,"Oct 28, 2020"
40-0185,Trend Micro OfficeScan Agent,14.0.9043,"Nov 22, 2019"
40-0186,Trend Micro OfficeScan Agent,12.0.5431,"Sep 23, 2019"
40-0187,Trend Micro Apex One Security Agent,14.0.6850,"Feb 26, 2020"
40-0187,Trend Micro OfficeScan Agent,14.0.6850,"Nov 8, 2019"
40-0189,Trend Micro Apex One Security Agent,14.0.9390,"Mar 30, 2021"
40-0190,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0190,Trend Micro OfficeScan Agent,14.0.9390,"Mar 30, 2017"
40-0192,Trend Micro Apex One Security Agent,14.0.8515,"Jul 15, 2020"
40-0192,Trend Micro OfficeScan Agent,14.0.8515,"Oct 2, 2019"
40-0192,Trend Micro Security Agent,14.0.8515,"Feb 11, 2020"
40-0193,Trend Micro Apex One Security Agent,14.0.9390,"Jul 8, 2020"
40-0195,Trend Micro Apex One Security Agent,14.0.9324,"Feb 2, 2021"
40-0195,Trend Micro OfficeScan Agent,14.0.9324,"Oct 1, 2019"
40-0195,Trend Micro Security Agent,14.0.9324,"Feb 14, 2020"
40-0196,Trend Micro OfficeScan Agent,12.0.5383,"Jul 16, 2019"
40-0197,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0197,Trend Micro OfficeScan Agent,14.0.9390,"Nov 12, 2019"
40-0198,Trend Micro Apex One Security Agent,14.0.9324,"Mar 16, 2021"
40-0199,Trend Micro Apex One Security Agent,14.0.6850,"Feb 25, 2020"
40-0199,Trend Micro OfficeScan Agent,14.0.6850,"Sep 6, 2017"
40-0200,Trend Micro Apex One Security Agent,14.0.8944,"Sep 23, 2020"
40-0200,Trend Micro Security Agent,14.0.8944,"Feb 11, 2020"
40-0200,Trend Micro OfficeScan Agent,14.0.8944,"Sep 23, 2019"
40-0201,Trend Micro Apex One Security Agent,14.0.9324,"Feb 1, 2021"
40-0201,Trend Micro OfficeScan Agent,14.0.9324,"Aug 21, 2019"
40-0201,Trend Micro Security Agent,14.0.9324,"Feb 25, 2020"
40-0202,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0202,Trend Micro OfficeScan Agent,14.0.9390,"Dec 3, 2019"
40-0203,Trend Micro Apex One Security Agent,14.0.9390,"Jan 24, 2021"
40-0204,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0204,Trend Micro OfficeScan Agent,14.0.9390,"Nov 7, 2019"
40-0205,Trend Micro Apex One Security Agent,14.0.9324,"Jan 27, 2021"
40-0205,Trend Micro OfficeScan Agent,14.0.9324,"Sep 26, 2017"
40-0206,Trend Micro OfficeScan Agent,12.0.5294,"Apr 26, 2019"
40-0219,Trend Micro Apex One Security Agent,14.0.9390,"Jan 27, 2020"
40-0219,Trend Micro OfficeScan Agent,14.0.9390,"Sep 24, 2019"
40-0220,Trend Micro Apex One Security Agent,14.0.9390,"Apr 5, 2021"
40-0220,Trend Micro OfficeScan Agent,14.0.9390,"Sep 25, 2019"
40-0221,Trend Micro Apex One Security Agent,14.0.9390,"Feb 12, 2020"
40-0222,Trend Micro Apex One Security Agent,14.0.9390,"Feb 20, 2020"
40-0223,Trend Micro Apex One Security Agent,14.0.9390,"Jan 28, 2020"
40-0223,Trend Micro OfficeScan Agent,14.0.9390,"Dec 11, 2019"
40-0224,Trend Micro Apex One Security Agent,14.0.9390,"Mar 16, 2021"
40-0225,Trend Micro Apex One Security Agent,14.0.8515,"Jul 15, 2020"
40-0225,Trend Micro OfficeScan Agent,14.0.8515,"Mar 15, 2018"
40-0227,Trend Micro Apex One Security Agent,14.0.9390,"Sep 16, 2020"
40-0228,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0228,Trend Micro OfficeScan Agent,14.0.9390,"Oct 24, 2018"
40-0229,Trend Micro Apex One Security Agent,14.0.9390,"Jan 26, 2020"
40-0230,Trend Micro Apex One Security Agent,14.0.9043,"Nov 4, 2020"
40-0230,Trend Micro OfficeScan Agent,14.0.9043,"May 11, 2018"
40-0231,Trend Micro Apex One Security Agent,14.0.9324,"Feb 2, 2021"
40-0231,Trend Micro OfficeScan Agent,14.0.9324,"Sep 30, 2019"
40-0232,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0232,Trend Micro OfficeScan Agent,14.0.9390,"Jun 13, 2018"
40-0233,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0233,Trend Micro OfficeScan Agent,14.0.9390,"Jun 13, 2018"
40-0234,Trend Micro Apex One Security Agent,14.0.9390,"Aug 17, 2020"
40-0235,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0235,Trend Micro OfficeScan Agent,14.0.9390,"Jul 9, 2018"
40-0237,Trend Micro Apex One Security Agent,14.0.9390,"Feb 18, 2020"
40-0237,Trend Micro OfficeScan Agent,14.0.9390,"Oct 8, 2019"
40-0238,Trend Micro Apex One Security Agent,14.0.9390,"Mar 11, 2020"
40-0239,Trend Micro Apex One Security Agent,14.0.9324,"Jan 26, 2021"
40-0239,Trend Micro OfficeScan Agent,14.0.9324,"Jul 24, 2018"
40-0240,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0240,Trend Micro OfficeScan Agent,14.0.9390,"Oct 1, 2019"
40-0241,Trend Micro Apex One Security Agent,14.0.9390,"Nov 9, 2020"
40-0242,Trend Micro Apex One Security Agent,14.0.9390,"Sep 11, 2020"
40-0243,Trend Micro OfficeScan Agent,12.0.5383,"Aug 27, 2019"
40-0245,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0245,Trend Micro OfficeScan Agent,14.0.9390,"Aug 16, 2018"
40-0246,Trend Micro Apex One Security Agent,14.0.9390,"Aug 20, 2020"
40-0246,Trend Micro OfficeScan Agent,14.0.9390,"Sep 28, 2018"
40-0247,Trend Micro Apex One Security Agent,14.0.9324,"Jan 26, 2021"
40-0247,Trend Micro OfficeScan Agent,14.0.9324,"Aug 30, 2018"
40-0248,Trend Micro Apex One Security Agent,14.0.9390,"Mar 31, 2021"
40-0248,Trend Micro OfficeScan Agent,14.0.9390,"Sep 5, 2018"
