Computer_Name,Software_Name,Software_Version,Software_Installed_Date
BCDVIDEO-HP,Trend Micro OfficeScan Agent,12.0.5403,
BCDVIDEO-HP,Trend Micro Threat Intelligence Manager Agent,1.6.3179,20180809
CN01BJ00767,Trend Micro Apex One Security Agent,14.0.9167,
CN01BJ00767,Trend Micro OfficeScan Agent,14.0.9167,20190620
DESKTOP-6V7IMO0,Trend Micro Apex One Security Agent,14.0.9324,
MININT-4VGF0I6,Trend Micro Apex One Security Agent,14.0.9244,
MININT-4VGF0I6,Trend Micro Security Agent,14.0.9244,20201005
MXBC003S0003,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003S0003,Trend Micro OfficeScan Agent,12.0.1988,20180820
MXBC003W0001,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0001,Trend Micro OfficeScan Agent,12.0.1988,20190826
MXBC003W0003,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0003,Trend Micro OfficeScan Agent,12.0.1988,20190930
MXBC003W0004,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0004,Trend Micro OfficeScan Agent,12.0.1988,20190924
MXBC003W0005,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0005,Trend Micro OfficeScan Agent,12.0.1988,20191003
MXBC003W0006,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0006,Trend Micro OfficeScan Agent,12.0.1988,20200805
MXBC003W0007,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0007,Trend Micro OfficeScan Agent,12.0.1988,20190829
MXBC003W0009,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0009,Trend Micro OfficeScan Agent,12.0.1988,20190920
MXBC003W0010,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0010,Trend Micro OfficeScan Agent,12.0.1988,20190923
MXBC003W0011,Trend Micro OfficeScan Agent,14.0.8378,
MXBC003W0011,Trend Micro OfficeScan Agent,14.0.8378,20181019
MXBC003W0012,Trend Micro OfficeScan Agent,14.0.8378,
MXBC003W0012,Trend Micro OfficeScan Agent,14.0.8378,20180620
MXBC003W0015,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0015,Trend Micro OfficeScan Agent,12.0.1988,20200810
MXBC003W0016,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0016,Trend Micro OfficeScan Agent,12.0.1988,20171004
MXBC003W0017,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0017,Trend Micro OfficeScan Agent,12.0.1988,20190510
MXBC003W0019,Trend Micro OfficeScan Agent,14.0.8378,
MXBC003W0019,Trend Micro OfficeScan Agent,14.0.8378,20191003
MXBC003W0021,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0021,Trend Micro OfficeScan Agent,12.0.1988,20200804
MXBC003W0022,Trend Micro OfficeScan Agent,14.0.8378,
MXBC003W0022,Trend Micro OfficeScan Agent,14.0.8378,20180820
MXBC003W0023,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0023,Trend Micro OfficeScan Agent,12.0.1988,20190508
MXBC003W0024,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0024,Trend Micro OfficeScan Agent,12.0.1988,20190717
MXBC003W0028,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0028,Trend Micro OfficeScan Agent,12.0.1988,20190925
MXBC003W0029,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0029,Trend Micro OfficeScan Agent,12.0.1988,20200611
MXBC003W0030,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0030,Trend Micro OfficeScan Agent,12.0.1988,20191007
MXBC003W0031,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0031,Trend Micro OfficeScan Agent,12.0.1988,20200611
MXBC003W0032,Trend Micro Apex One Security Agent,14.0.8378,
MXBC003W0032,Trend Micro OfficeScan Agent,14.0.8378,20200804
MXBC003W0033,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0033,Trend Micro OfficeScan Agent,12.0.1988,20200805
MXBC003W0034,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0034,Trend Micro OfficeScan Agent,12.0.1988,20191001
MXBC003W0035,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0035,Trend Micro OfficeScan Agent,12.0.1988,20190926
MXBC003W0036,Trend Micro Apex One Security Agent,14.0.8378,
MXBC003W0036,Trend Micro Apex One Security Agent,14.0.8378,20210129
MXBC003W0037,Trend Micro OfficeScan Agent,14.0.8378,
MXBC003W0037,Trend Micro OfficeScan Agent,14.0.8378,20191007
MXBC003W0038,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0038,Trend Micro OfficeScan Agent,12.0.1988,20190925
MXBC003W0040,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0040,Trend Micro OfficeScan Agent,12.0.1988,20191016
MXBC003W0041,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0041,Trend Micro OfficeScan Agent,12.0.1988,20190927
MXBC003W0042,Trend Micro OfficeScan Agent,12.0.1988,
