Patch ID,Bulletin ID,Patch Description,Patch Status,Computer Name,KB Number,Release Date,Vendor
10047,MS11-025,Microsoft Visual C++ 2008 Service Pack 1 Redistributable Package MFC Security Update(x64)(KB2538243),Missing,T8XAPD2,2538243,"Apr 11, 2011",Microsoft
12621,MS11-025,Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package MFC Security Update,Missing,T8EPOP1,2565063,"Jun 13, 2011",Microsoft
12621,MS11-025,Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package MFC Security Update,Missing,T8FILP10,2565063,"Jun 13, 2011",Microsoft
12621,MS11-025,Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package MFC Security Update,Missing,20-0002,2565063,"Jun 13, 2011",Microsoft
12621,MS11-025,Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package MFC Security Update,Missing,QST-LAP-400230,2565063,"Jun 13, 2011",Microsoft
12621,MS11-025,Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package MFC Security Update,Missing,QST-LAP-021842,2565063,"Jun 13, 2011",Microsoft
12622,MS11-025,Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package MFC Security Update,Missing,T8EPOP1,2565063,"Jun 13, 2011",Microsoft
12622,MS11-025,Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package MFC Security Update,Missing,46-0140,2565063,"Jun 13, 2011",Microsoft
12622,MS11-025,Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package MFC Security Update,Missing,T8FILP10,2565063,"Jun 13, 2011",Microsoft
14484,MS13-081,Security Update for Windows Server 2003 (KB2862330),Missing,T3APPP1,2862330,"Oct 8, 2013",Microsoft
14498,MS13-081,Security Update for Windows Server 2003 (KB2862335),Missing,T3APPP1,2862335,"Oct 8, 2013",Microsoft
14517,MS13-081,Security Update for Windows Server 2003 x64 Edition (KB2868038),Missing,T3TSMP1,2868038,"Oct 8, 2013",Microsoft
14540,MS13-081,Security Update for Windows Server 2003 (KB2884256),Missing,T3APPP1,2884256,"Oct 8, 2013",Microsoft
14540,MS13-081,Security Update for Windows Server 2003 (KB2884256),Missing,T3FILP1,2884256,"Oct 8, 2013",Microsoft
14540,MS13-081,Security Update for Windows Server 2003 (KB2884256),Missing,T3TELP4,2884256,"Oct 8, 2013",Microsoft
14540,MS13-081,Security Update for Windows Server 2003 (KB2884256),Missing,T3BRZP2,2884256,"Oct 8, 2013",Microsoft
14540,MS13-081,Security Update for Windows Server 2003 (KB2884256),Missing,T3TELP2,2884256,"Oct 8, 2013",Microsoft
14540,MS13-081,Security Update for Windows Server 2003 (KB2884256),Missing,T3SECP1,2884256,"Oct 8, 2013",Microsoft
14540,MS13-081,Security Update for Windows Server 2003 (KB2884256),Missing,T3FILP3,2884256,"Oct 8, 2013",Microsoft
14545,MS13-081,Security Update for Windows Server 2003 x64 Edition (KB2884256),Missing,T3TSMP1,2884256,"Oct 8, 2013",Microsoft
15022,MS14-009,"Security Update for Microsoft .NET Framework 4.5 on Windows 7 Service Pack 1, and Windows Server 2008 R2 Service Pack 1, Windows Vista Service Pack 2, and Windows Server 2008 Service Pack 2 (KB2901118)",Missing,T8WBSP2,2901118,"Feb 11, 2014",Microsoft
16531,MS14-078,Security Update for Windows Server 2003 (KB2991963),Missing,T3APPP1,2991963,"Nov 11, 2014",Microsoft
16531,MS14-078,Security Update for Windows Server 2003 (KB2991963),Missing,T3FILP1,2991963,"Nov 11, 2014",Microsoft
16531,MS14-078,Security Update for Windows Server 2003 (KB2991963),Missing,T3TELP4,2991963,"Nov 11, 2014",Microsoft
16531,MS14-078,Security Update for Windows Server 2003 (KB2991963),Missing,T3BRZP2,2991963,"Nov 11, 2014",Microsoft
16531,MS14-078,Security Update for Windows Server 2003 (KB2991963),Missing,T3TELP2,2991963,"Nov 11, 2014",Microsoft
16531,MS14-078,Security Update for Windows Server 2003 (KB2991963),Missing,T3SECP1,2991963,"Nov 11, 2014",Microsoft
16531,MS14-078,Security Update for Windows Server 2003 (KB2991963),Missing,T3FILP3,2991963,"Nov 11, 2014",Microsoft
16535,MS14-078,Security Update for Windows Server 2003 x64 Edition (KB2991963),Missing,T3TSMP1,2991963,"Nov 11, 2014",Microsoft
17432,MS15-038,Security Update for Windows Server 2003 (KB3045685),Missing,T3APPP1,3045685,"Apr 14, 2015",Microsoft
